# DraftSheets re-scored for San Diego City Slackers (12 tm, QB1/RB2/WR3/TE1/FLEX1 RB/WR, 0 PPR). Pts = ECR-blended 16-game projection; VBD vs baselines QB14, RB44, WR47, TE12.
Player,Position,Team,Bye,ECRRank,ECRTier,PosRank,Upside,Bust,MissedGames,Low,Avg,High,Pts,VBD,Tier,ECRvsADP
Luther Burden III,WR,CHI,10,46,4,22,4 out of 5,4 out of 5,3.103,94.83,102.75,112.95,104.4,24.78,5,6
Davante Adams,WR,LAR,11,47,4,23,4 out of 5,4 out of 5,3.157,109.02,115.83,124.62,113.88,34.26,4,9
Terry McLaurin,WR,WAS,7,48,4,24,4 out of 5,2 out of 5,3.21,95.78,106.04,124.31,107.96,28.35,5,6
Joe Burrow,QB,CIN,6,49,4,4,4 out of 5,4 out of 5,1.97,247.19,256.75,269.15,259.54,15.53,3,4
Jameson Williams,WR,DET,6,50,4,25,4 out of 5,3 out of 5,3.263,104.93,114.65,120.87,111.44,31.82,4,9
Bucky Irving,RB,TB,10,51,4,19,3 out of 5,4 out of 5,2.71,131.75,140.54,152.29,142.82,66.22,5,-4
Cam Skattebo,RB,NYG,8,52,4,20,4 out of 5,4 out of 5,2.73,130.09,148.77,168.37,147.67,71.06,4,-16
Tyler Warren,TE,IND,13,53,4,4,5 out of 5,2 out of 5,1.991,92.63,99.04,104.16,98.72,11.3,3,-3
DJ Moore,WR,BUF,7,54,4,26,4 out of 5,2 out of 5,3.315,88.72,103.92,116.71,103.32,23.7,5,-5
David Montgomery,RB,HOU,8,55,4,21,4 out of 5,2 out of 5,2.751,119.16,130.53,143.08,133.85,57.25,5,-7
Quinshon Judkins,RB,CLE,11,56,4,22,4 out of 5,4 out of 5,2.774,122.77,142.62,166.12,143.01,66.41,5,-10
Christian Watson,WR,GB,11,57,4,27,4 out of 5,4 out of 5,3.366,96.08,103.11,114.52,104.21,24.59,5,7
Rome Odunze,WR,CHI,10,58,4,28,4 out of 5,3 out of 5,3.417,98.0,105.71,114.12,105.15,25.53,5,3
Bhayshul Tuten,RB,JAX,7,59,4,23,4 out of 5,3 out of 5,2.798,112.22,139.87,172.02,140.99,64.39,5,-2
Jalen Hurts,QB,PHI,10,60,4,5,4 out of 5,3 out of 5,1.942,248.93,265.09,285.02,265.8,21.78,2,2
Jadarian Price,RB,SEA,11,61,4,24,4 out of 5,4 out of 5,2.823,132.29,143.43,153.12,139.84,63.24,5,-6
Mike Evans,WR,SF,8,62,4,29,4 out of 5,4 out of 5,3.467,90.63,96.32,101.37,97.32,17.71,5,4
Jayden Daniels,QB,WAS,7,63,4,6,4 out of 5,4 out of 5,1.924,243.96,267.0,289.09,264.2,20.19,2,0
Parker Washington,WR,JAX,7,64,4,30,4 out of 5,2 out of 5,3.517,80.63,89.3,102.87,92.61,13.0,6,3
TreVeyon Henderson,RB,NE,11,65,5,25,4 out of 5,4 out of 5,2.849,114.96,121.42,128.02,121.46,44.85,5,-7
Caleb Williams,QB,CHI,10,66,5,7,5 out of 5,2 out of 5,1.916,237.1,249.91,264.54,251.26,7.24,4,6
Rhamondre Stevenson,RB,NE,11,67,5,26,4 out of 5,3 out of 5,2.876,106.53,117.05,124.66,117.0,40.4,6,2
Tucker Kraft,TE,GB,11,68,5,5,5 out of 5,3 out of 5,1.945,80.03,94.31,114.17,96.29,8.88,3,-3
Jaylen Warren,RB,PIT,9,69,5,27,4 out of 5,4 out of 5,2.905,113.33,118.38,122.09,118.35,41.75,6,-1
Justin Herbert,QB,LAC,7,70,5,8,5 out of 5,2 out of 5,1.919,234.31,247.97,266.28,250.51,6.5,4,8
Marvin Harrison Jr.,WR,ARI,14,71,5,31,3 out of 5,4 out of 5,3.566,89.3,95.1,100.47,95.43,15.82,5,4
Carnell Tate,WR,TEN,9,72,5,32,4 out of 5,2 out of 5,3.615,89.2,100.98,114.42,100.23,20.62,5,2
Trevor Lawrence,QB,JAX,7,73,5,9,5 out of 5,2 out of 5,1.932,236.05,253.47,276.74,254.6,10.59,4,14
Tony Pollard,RB,TEN,9,74,5,28,4 out of 5,3 out of 5,2.935,108.55,119.78,129.73,119.11,42.51,6,3
Dak Prescott,QB,DAL,14,75,5,10,4 out of 5,2 out of 5,1.956,236.29,252.16,270.07,252.6,8.59,4,4
DK Metcalf,WR,PIT,9,76,5,33,3 out of 5,3 out of 5,3.663,89.99,95.02,100.59,95.18,15.56,5,6
Brian Thomas Jr.,WR,JAX,7,77,5,34,2 out of 5,4 out of 5,3.71,79.96,89.13,100.64,91.19,11.57,6,3
Harold Fannin Jr.,TE,CLE,11,78,5,6,4 out of 5,3 out of 5,1.913,80.63,96.15,116.43,97.34,9.93,3,-8
Rico Dowdle,RB,PIT,9,79,5,29,4 out of 5,4 out of 5,2.966,103.05,114.39,131.18,116.41,39.81,6,-3
Chris Godwin Jr.,WR,TB,10,80,5,35,4 out of 5,4 out of 5,3.757,69.02,77.76,86.57,81.88,2.26,6,3
Jonathon Brooks,RB,CAR,5,81,5,30,4 out of 5,4 out of 5,2.998,84.51,102.53,121.2,105.66,29.06,6,0
Sam LaPorta,TE,DET,6,82,5,7,4 out of 5,3 out of 5,1.892,86.06,94.61,105.39,95.17,7.75,3,-11
Kyle Pitts Sr.,TE,ATL,11,83,5,8,4 out of 5,4 out of 5,1.884,83.62,91.91,101.1,92.74,5.32,3,-10
Courtland Sutton,WR,DEN,10,84,5,36,2 out of 5,4 out of 5,3.803,90.26,94.16,98.08,93.84,14.23,5,6
Quentin Johnston,WR,LAC,7,85,5,37,4 out of 5,4 out of 5,3.848,74.56,83.55,95.13,86.06,6.45,6,19
J.K. Dobbins,RB,DEN,10,86,5,31,4 out of 5,4 out of 5,3.031,107.6,119.61,132.68,116.76,40.15,6,3
Michael Pittman Jr.,WR,PIT,9,87,5,38,3 out of 5,3 out of 5,3.848,64.12,78.6,88.42,80.11,0.5,6,28
Michael Wilson,WR,ARI,14,88,5,39,-,-,3.848,72.77,79.09,87.35,82.08,2.47,6,0
Blake Corum,RB,LAR,11,89,5,32,4 out of 5,4 out of 5,3.066,85.29,97.8,111.82,100.2,23.6,6,2
MarShawn Lloyd,RB,GB,11,90,5,33,4 out of 5,4 out of 5,3.102,81.57,107.14,132.4,105.91,29.31,6,6
Alec Pierce,WR,IND,13,91,5,40,4 out of 5,4 out of 5,3.848,86.28,96.85,114.87,96.63,17.02,5,1
George Kittle,TE,SF,8,92,5,9,4 out of 5,4 out of 5,1.888,78.61,96.64,114.97,96.02,8.61,3,-6
Chuba Hubbard,RB,CAR,5,93,6,34,2 out of 5,4 out of 5,3.139,91.84,105.91,120.2,104.83,28.23,6,-8
Brock Purdy,QB,SF,8,94,6,11,4 out of 5,2 out of 5,1.99,237.93,251.9,270.0,252.43,8.42,4,19
Josh Downs,WR,IND,13,95,6,41,3 out of 5,4 out of 5,3.848,59.89,67.51,76.82,72.98,-6.64,7,17
Bo Nix,QB,DEN,10,96,6,12,4 out of 5,2 out of 5,2.034,227.36,245.07,255.64,244.01,0.0,5,7
RJ Harvey,RB,DEN,10,97,6,35,2 out of 5,4 out of 5,3.177,71.78,87.93,112.28,92.67,16.07,7,-13
Jaxson Dart,QB,NYG,8,98,6,13,5 out of 5,4 out of 5,2.089,235.71,253.48,275.39,252.7,8.69,4,-3
Stefon Diggs,WR,WAS,7,99,6,42,4 out of 5,2 out of 5,3.848,68.19,72.04,76.59,75.09,-4.52,7,6
Jacory Croskey-Merritt,RB,WAS,7,100,6,36,4 out of 5,4 out of 5,3.216,93.17,101.38,110.52,100.87,24.27,6,-2
Jordan Mason,RB,MIN,6,101,6,37,4 out of 5,3 out of 5,3.257,87.63,98.43,105.88,97.43,20.83,7,-7
Wan'Dale Robinson,WR,TEN,9,102,6,43,4 out of 5,3 out of 5,3.848,64.19,71.1,78.47,73.81,-5.8,7,26
Patrick Mahomes II,QB,KC,5,103,6,14,3 out of 5,4 out of 5,2.154,229.33,246.22,269.36,247.49,3.48,5,11
Travis Kelce,TE,KC,5,104,6,10,3 out of 5,3 out of 5,1.905,82.94,88.45,97.26,90.14,2.73,4,-11
Jayden Reed,WR,GB,11,105,6,44,4 out of 5,4 out of 5,3.848,72.8,81.39,92.64,82.05,2.44,6,4
Kenny Gainwell,RB,TB,10,106,6,38,4 out of 5,3 out of 5,3.299,81.74,90.98,101.16,91.78,15.18,7,2
Jordan Addison,WR,MIN,6,107,6,45,4 out of 5,3 out of 5,3.848,74.52,81.48,90.57,81.63,2.02,6,0
Jared Goff,QB,DET,6,108,6,15,4 out of 5,2 out of 5,2.23,220.46,233.15,248.48,234.67,-9.34,6,15
