# DraftSheets re-scored for San Diego City Slackers (12 tm, QB1/RB2/WR3/TE1/FLEX1 RB/WR, 0 PPR). Pts = ECR-blended 16-game projection; VBD vs baselines QB14, RB44, WR47, TE12.
Player,Position,Team,Bye,ECRRank,ECRTier,PosRank,Upside,Bust,MissedGames,Low,Avg,High,Pts,VBD,Tier,ECRvsADP
Aaron Rodgers,QB,PIT,9,204,8,28,1 out of 5,4 out of 5,3.2,143.31,168.95,185.8,167.83,-76.18,14,-28
Kaytron Allen,RB,WAS,7,206,8,64,3 out of 5,4 out of 5,4.0,49.46,55.79,61.99,54.53,-22.08,8,40
Malachi Fields,WR,NYG,8,208,8,78,4 out of 5,4 out of 5,3.848,68.31,68.31,68.31,65.07,-14.54,7,10
Zachariah Branch,WR,ATL,11,209,8,79,3 out of 5,4 out of 5,3.848,66.03,66.03,66.03,62.94,-16.67,7,46
Isaac TeSlaa,WR,DET,6,210,8,80,3 out of 5,4 out of 5,3.848,34.95,42.63,50.32,45.31,-34.3,9,0
Ja'Kobi Lane,WR,BAL,13,211,8,81,4 out of 5,4 out of 5,3.848,75.39,87.67,99.96,78.14,-1.47,6,-61
Cooper Kupp,WR,SEA,11,213,8,82,2 out of 5,4 out of 5,3.848,44.29,55.35,66.55,53.59,-26.02,8,-16
Kaelon Black,RB,SF,8,215,8,65,4 out of 5,4 out of 5,4.0,66.46,87.05,107.78,77.73,1.12,7,-55
George Holani,RB,SEA,11,217,8,66,3 out of 5,4 out of 5,4.0,14.4,19.0,23.6,26.29,-50.31,10,44
Najee Harris,RB,NYG,8,218,8,67,2 out of 5,4 out of 5,4.0,39.53,44.6,50.24,45.51,-31.09,9,44
Geno Smith,QB,NYJ,13,219,8,29,2 out of 5,4 out of 5,3.2,149.52,175.84,199.57,173.47,-70.54,13,16
Jaylen Wright,RB,MIA,6,222,8,68,-,-,4.0,23.54,31.53,39.68,34.84,-41.76,9,20
Darnell Mooney,WR,NYG,8,223,8,83,3 out of 5,4 out of 5,3.848,30.33,30.33,30.33,34.45,-45.17,9,76
James Conner,RB,ARI,14,224,8,69,3 out of 5,4 out of 5,4.0,0.0,23.65,47.29,28.77,-47.84,10,-15
Justice Hill,RB,BAL,13,225,8,70,-,-,4.0,47.56,57.99,68.7,54.5,-22.11,8,-2
Emanuel Wilson,RB,SEA,11,226,8,71,3 out of 5,4 out of 5,4.0,4.4,30.5,56.89,32.82,-43.78,9,44
Germie Bernard,WR,PIT,9,229,8,84,2 out of 5,4 out of 5,3.848,74.58,75.75,77.34,68.47,-11.15,7,45
Devaughn Vele,WR,NO,8,231,8,85,2 out of 5,4 out of 5,3.848,52.82,56.14,59.47,53.6,-26.01,8,36
Evan Engram,TE,DEN,10,234,8,29,-,-,3.0,45.15,48.62,50.78,48.9,-38.51,8,49
Ted Hurst III,WR,TB,10,236,8,86,4 out of 5,4 out of 5,3.848,58.65,68.61,78.13,62.77,-16.84,7,21
Troy Franklin,WR,DEN,10,237,9,87,1 out of 5,5 out of 5,3.848,22.5,43.31,64.55,43.53,-36.09,9,74
Fernando Mendoza,QB,LV,13,238,9,30,4 out of 5,3 out of 5,3.2,125.03,144.25,163.64,144.29,-99.72,15,-68
Samaje Perine,RB,CIN,6,239,9,72,2 out of 5,5 out of 5,4.0,50.09,55.4,59.87,49.73,-26.87,9,56
Demond Claiborne,RB,MIN,6,242,9,73,3 out of 5,4 out of 5,4.0,50.27,55.03,59.66,49.12,-27.48,9,23
Chris Brooks,RB,GB,11,243,9,74,2 out of 5,4 out of 5,4.0,29.19,44.12,58.63,40.68,-35.92,9,28
Tank Dell,WR,HOU,8,245,9,88,4 out of 5,5 out of 5,3.848,0.0,25.13,50.25,29.67,-49.94,10,-6
Jack Bech,WR,LV,13,246,9,89,3 out of 5,4 out of 5,3.848,27.25,27.25,27.25,31.09,-48.52,9,60
David Njoku,TE,LAC,7,247,9,30,4 out of 5,4 out of 5,3.0,41.52,49.87,59.39,50.17,-37.25,8,-67
Kaleb Johnson,RB,GB,11,248,9,75,1 out of 5,5 out of 5,4.0,4.76,4.76,4.76,11.2,-65.4,10,5
Keon Coleman,WR,BUF,7,249,9,90,2 out of 5,4 out of 5,3.848,35.88,35.88,35.88,37.3,-42.31,9,19
Antonio Williams,WR,WAS,7,253,9,91,4 out of 5,2 out of 5,3.848,59.81,75.96,92.67,67.04,-12.58,7,25
Colby Parkinson,TE,LAR,11,254,9,31,-,-,3.0,34.47,43.6,60.34,46.76,-40.66,8,22
Caleb Douglas,WR,MIA,6,257,9,92,3 out of 5,4 out of 5,3.848,66.44,74.23,82.43,65.65,-13.96,7,-33
Ollie Gordon II,RB,MIA,6,258,9,76,3 out of 5,4 out of 5,4.0,9.88,15.78,21.24,17.64,-58.96,10,34
Jordan James,RB,SF,8,259,9,77,2 out of 5,4 out of 5,4.0,15.11,43.73,72.35,38.71,-37.89,9,-9
Tory Horton,WR,SEA,11,260,9,93,4 out of 5,4 out of 5,3.848,29.8,45.96,61.69,44.02,-35.6,9,43
Isaiah Davis,RB,NYJ,13,261,9,78,2 out of 5,4 out of 5,4.0,20.47,23.67,26.58,23.04,-53.56,10,
LeQuint Allen Jr.,RB,JAX,7,262,9,79,2 out of 5,5 out of 5,4.0,6.49,19.62,32.89,19.77,-56.83,10,
Elic Ayomanor,WR,TEN,9,264,9,94,1 out of 5,5 out of 5,3.848,10.69,38.61,66.41,38.12,-41.49,9,
Ty Johnson,RB,BUF,7,265,9,80,-,-,4.0,43.63,50.87,57.25,42.84,-33.76,9,12
Michael Penix Jr.,QB,ATL,11,266,9,31,2 out of 5,5 out of 5,3.2,58.11,74.2,91.53,82.44,-161.57,15,-17
Tyquan Thornton,WR,KC,5,267,9,95,2 out of 5,5 out of 5,3.848,38.24,48.18,58.11,45.1,-34.51,9,
Greg Dulcich,TE,MIA,6,268,9,32,4 out of 5,4 out of 5,3.0,48.74,60.32,69.36,56.57,-30.85,7,-53
Chimere Dike,WR,TEN,9,270,9,96,1 out of 5,5 out of 5,3.848,11.24,36.79,62.35,35.46,-44.15,9,
Tua Tagovailoa,QB,ATL,11,271,9,32,2 out of 5,4 out of 5,3.2,90.29,105.93,122.7,105.19,-138.83,15,-28
Kirk Cousins,QB,LV,13,272,9,33,2 out of 5,4 out of 5,3.2,27.75,35.44,42.29,46.34,-197.67,15,-28
Kendre Miller,RB,NO,8,274,9,81,2 out of 5,4 out of 5,4.0,9.87,15.16,20.29,16.08,-60.52,10,42
Seth McGowan,RB,IND,13,275,9,82,4 out of 5,4 out of 5,4.0,56.89,60.92,64.95,49.72,-26.88,9,14
DJ Giddens,RB,IND,13,276,9,83,2 out of 5,4 out of 5,4.0,6.06,11.36,16.52,12.43,-64.17,10,
Darius Slayton,WR,NYG,8,277,9,97,2 out of 5,4 out of 5,3.848,34.94,43.75,53.13,40.54,-39.08,9,
Shedeur Sanders,QB,CLE,11,278,9,34,3 out of 5,4 out of 5,3.2,27.38,79.88,118.51,74.99,-169.02,15,-15
Deshaun Watson,QB,CLE,11,279,9,35,1 out of 5,5 out of 5,3.2,51.57,101.83,153.63,85.62,-158.39,15,-20
Xavier Legette,WR,CAR,5,280,9,98,2 out of 5,4 out of 5,3.848,41.59,41.59,41.59,38.0,-41.61,9,
Christian Kirk,WR,SF,8,281,9,99,1 out of 5,5 out of 5,3.848,0.0,23.77,47.54,24.11,-55.51,10,
Elijah Sarratt,WR,BAL,13,283,9,100,3 out of 5,3 out of 5,3.848,49.56,49.56,49.56,43.11,-36.5,9,
Mason Taylor,TE,NYJ,13,284,9,33,1 out of 5,4 out of 5,3.0,27.9,40.9,53.61,41.5,-45.91,9,
Brashard Smith,RB,KC,5,286,9,84,-,-,4.0,28.96,30.78,32.47,26.84,-49.76,10,37
Theo Johnson,TE,NYG,8,291,9,34,2 out of 5,4 out of 5,3.0,27.74,37.11,52.69,39.92,-47.49,9,16
Adam Randall,RB,BAL,13,292,9,85,3 out of 5,5 out of 5,4.0,38.89,62.89,86.89,50.8,-25.8,9,
Devin Singletary,RB,NYG,8,293,9,86,1 out of 5,5 out of 5,4.0,0.0,7.06,14.12,8.47,-68.13,10,-29
Emari Demercado,RB,DAL,14,294,9,87,2 out of 5,5 out of 5,4.0,10.72,16.13,21.25,14.9,-61.7,10,24
Eli Stowers,TE,PHI,10,296,9,35,4 out of 5,4 out of 5,3.0,10.32,21.94,33.72,26.72,-60.69,11,-6
Devin Neal,RB,,,298,9,88,1 out of 5,5 out of 5,4.0,0.0,0.0,0.0,2.84,-73.76,11,
Jaydon Blue,RB,PHI,10,300,9,89,3 out of 5,5 out of 5,4.0,0.0,0.0,0.0,1.86,-74.74,11,-27
Trevor Etienne,RB,CAR,5,302,10,90,2 out of 5,4 out of 5,4.0,0.0,0.0,0.0,1.76,-74.84,11,
Tahj Brooks,RB,CIN,6,304,10,91,-,-,4.0,12.71,12.71,12.71,11.0,-65.6,10,
Mike Gesicki,TE,CIN,6,305,10,36,-,-,3.0,40.43,51.07,60.64,47.66,-39.75,8,-39
Trey Benson,RB,ARI,14,307,10,92,1 out of 5,5 out of 5,4.0,0.0,0.0,0.0,1.19,-75.41,11,3
Jerome Ford,RB,WAS,7,308,10,93,2 out of 5,4 out of 5,4.0,0.0,0.0,0.0,0.0,-76.6,11,
Isaac Guerendo,RB,SF,8,309,10,94,-,-,4.0,0.0,7.45,14.89,5.59,-71.02,11,
Audric Estime,RB,NO,8,310,10,95,-,-,4.0,14.54,14.54,14.54,10.91,-65.7,10,
Jarquez Hunter,RB,,,312,10,96,-,-,4.0,0.0,0.0,0.0,0.0,-76.6,11,
Darren Waller,TE,CAR,5,313,10,37,-,-,3.0,48.41,55.53,63.68,51.48,-35.94,7,-13
Will Shipley,RB,PHI,10,314,10,97,-,-,4.0,11.5,11.5,11.5,8.62,-67.98,10,
Jaleel McLaughlin,RB,CLE,11,316,10,98,-,-,4.0,0.0,0.0,0.0,0.0,-76.6,11,
Jake Tonges,TE,SF,8,318,10,38,-,-,3.0,8.92,16.97,29.44,23.11,-64.3,11,-32
Darnell Washington,TE,PIT,9,320,10,39,-,-,3.0,30.05,33.42,38.01,33.79,-53.62,10,
Kareem Hunt,RB,,,321,10,99,-,-,4.0,0.0,0.0,0.0,0.0,-76.6,11,
Charlie Kolar,TE,LAC,7,322,10,40,-,-,3.0,15.81,27.63,43.74,30.15,-57.26,10,
Oscar Delp,TE,NO,8,323,10,41,4 out of 5,4 out of 5,3.0,7.8,10.44,13.38,15.79,-71.62,12,
Michael Mayer,TE,LV,13,324,10,42,-,-,3.0,31.96,38.29,45.88,36.76,-50.65,9,
Carson Beck,QB,ARI,14,330,10,36,-,-,3.2,20.9,22.33,24.29,22.47,-221.55,15,
Elijah Arroyo,TE,SEA,11,331,10,43,-,-,3.0,13.08,22.36,29.38,23.11,-64.3,11,
Eli Raridon,TE,NE,11,333,10,44,-,-,3.0,19.35,23.33,27.45,23.37,-64.05,11,
Bam Knight,RB,ARI,14,334,10,100,-,-,4.0,0.0,5.86,11.72,4.39,-72.21,11,
Dawson Knox,TE,BUF,7,335,10,45,-,-,3.0,32.97,38.5,44.35,34.68,-52.73,10,
Erick All Jr.,TE,CIN,6,336,10,46,-,-,3.0,29.9,31.54,33.19,29.25,-58.16,10,
Cole Kmet,TE,CHI,10,341,10,47,-,-,3.0,24.46,30.92,42.36,29.92,-57.49,10,
Tyler Higbee,TE,LAR,11,342,11,48,-,-,3.0,17.59,33.7,56.59,31.21,-56.2,10,
Noah Gray,TE,KC,5,343,11,49,-,-,3.0,14.99,22.9,29.22,19.39,-68.03,12,
Mac Jones,QB,SF,8,350,11,37,-,-,3.2,6.36,7.94,9.43,9.47,-234.54,15,-68
J.J. McCarthy,QB,MIN,6,352,11,38,-,-,3.2,6.54,9.17,12.98,10.55,-233.46,15,
Max Klare,TE,LAR,11,353,11,50,-,-,3.0,4.75,9.52,14.3,9.52,-77.89,13,
Ja'Tavion Sanders,TE,CAR,5,357,11,51,-,-,2.201,18.03,19.16,20.94,19.38,-68.03,13,
Justin Fields,QB,KC,5,359,11,39,-,-,3.2,7.04,9.37,12.33,9.72,-234.29,15,
Ty Simpson,QB,LAR,11,361,11,40,-,-,3.2,6.29,14.16,28.46,14.57,-229.44,15,
Anthony Richardson Sr.,QB,IND,13,378,11,41,-,-,3.2,9.37,9.37,9.37,9.37,-234.64,15,
Noah Fant,TE,NO,8,382,11,52,-,-,2.201,12.52,27.9,43.99,28.14,-59.28,13,
Ben Sinnott,TE,WAS,7,383,11,53,-,-,2.201,12.38,16.09,19.64,16.04,-71.38,13,
Tommy Tremble,TE,CAR,5,386,11,54,-,-,2.201,20.48,24.66,27.19,24.11,-63.3,13,
Joe Flacco,QB,CIN,6,390,11,42,-,-,3.2,5.81,7.86,9.53,8.09,-235.92,15,
Mitchell Evans,TE,CAR,5,395,11,55,-,-,2.201,0.0,10.67,21.35,10.67,-76.74,13,
Daniel Bellinger,TE,TEN,9,396,11,56,-,-,2.201,11.4,26.8,41.56,26.59,-60.82,13,
Jameis Winston,QB,NYG,8,397,11,43,-,-,3.2,4.21,8.71,15.04,9.17,-234.85,15,
Marlin Klein,TE,HOU,8,399,11,57,-,-,2.201,2.26,20.32,38.39,20.32,-67.09,13,
Jonnu Smith,TE,GB,11,403,11,58,-,-,2.201,17.75,26.69,35.15,26.53,-60.88,13,
Cade Klubnik,QB,NYJ,13,404,11,44,-,-,3.2,4.57,6.85,9.47,7.21,-236.8,15,
Marcus Mariota,QB,WAS,7,405,11,45,-,-,3.2,7.41,13.51,20.0,12.19,-231.82,15,
Matt Hibner,TE,BAL,13,410,11,59,-,-,2.201,0.0,0.0,0.0,0.0,-87.41,13,
Justin Joly,TE,MIA,6,412,11,60,-,-,2.201,0.0,6.01,12.01,6.01,-81.41,13,
Austin Hooper,TE,ATL,11,414,11,61,-,-,2.201,18.44,24.46,30.03,24.31,-63.1,13,
Luke Musgrave,TE,GB,11,415,11,62,-,-,2.201,0.0,14.15,22.65,12.26,-75.15,13,
Elijah Higgins,TE,ARI,14,416,11,63,-,-,2.201,16.56,19.28,22.48,19.44,-67.97,13,
Adam Trautman,TE,DEN,10,429,12,64,-,-,2.201,18.46,25.22,32.63,25.44,-61.98,13,
Tanner Koziol,TE,JAX,7,431,12,65,-,-,2.201,4.44,8.91,13.88,9.08,-78.34,13,
Jackson Hawes,TE,BUF,7,438,12,66,-,-,2.201,13.17,16.16,19.48,16.27,-71.14,13,
Josh Oliver,TE,MIN,6,440,12,67,-,-,2.201,17.44,27.3,39.29,28.01,-59.4,13,
Joe Milton III,QB,DAL,14,443,12,46,-,-,3.2,0.0,4.62,10.0,5.37,-238.64,15,
John Bates,TE,WAS,7,444,12,68,-,-,2.201,15.22,20.55,26.06,20.61,-66.8,13,
Tanner Hudson,TE,CIN,6,459,12,69,-,-,2.201,0.0,0.0,0.0,0.0,-87.41,13,
Zach Ertz,TE,,,463,12,70,-,-,2.201,0.0,0.0,0.0,0.0,-87.41,13,
Jelani Woods,TE,NYJ,13,469,12,71,-,-,2.201,0.0,0.0,0.0,0.0,-87.41,13,
Tommy Myers,TE,,,470,12,72,-,-,2.201,0.0,0.0,0.0,0.0,-87.41,13,
Will Kacmarek,TE,MIA,6,476,12,73,-,-,2.201,16.46,28.69,41.07,28.74,-58.67,13,
Taylen Green,QB,CLE,11,477,12,47,-,-,3.2,0.0,0.0,0.0,1.16,-242.86,15,
Nate Boerkircher,TE,JAX,7,479,12,74,-,-,2.201,7.27,18.25,29.06,18.19,-69.22,13,
Brock Wright,TE,DET,6,480,12,75,-,-,2.201,8.78,26.43,44.08,26.43,-60.98,13,
Drew Sample,TE,CIN,6,484,12,76,-,-,2.201,12.66,17.18,22.18,17.34,-70.07,13,
Luke Schoonmaker,TE,DAL,14,485,12,77,-,-,2.201,13.15,14.25,15.67,14.35,-73.06,13,
Mo Alie-Cox,TE,IND,13,486,12,78,-,-,2.201,13.45,13.45,13.45,13.45,-73.96,13,
Riley Leonard,QB,IND,13,487,12,48,-,-,3.2,6.53,10.14,14.28,7.73,-236.28,15,
Josh Cuevas,TE,BAL,13,490,12,79,-,-,2.201,4.37,8.31,12.74,8.47,-78.94,13,
Foster Moreau,TE,HOU,8,495,12,80,-,-,2.201,9.12,14.87,20.45,14.81,-72.6,13,
Sam Roush,TE,CHI,10,496,12,81,-,-,2.201,4.21,8.8,13.88,8.96,-78.45,13,
Michael Trigg,TE,DAL,14,497,12,82,-,-,2.201,0.0,0.0,0.0,0.0,-87.41,13,
Cade Stover,TE,HOU,8,498,12,83,-,-,2.201,13.72,14.59,15.63,14.65,-72.76,13,
Seydou Traore,TE,MIA,6,500,12,84,-,-,2.201,6.92,9.8,12.01,9.58,-77.83,13,
Jeremy Ruckert,TE,NYJ,13,501,12,85,-,-,2.201,10.12,18.21,25.65,17.99,-69.42,13,
Durham Smythe,TE,BAL,13,502,12,86,-,-,2.201,9.66,11.4,12.49,11.18,-76.23,13,
Luke Farrell,TE,SF,8,504,12,87,-,-,2.201,4.38,4.38,4.38,4.38,-83.03,13,
Nate Adkins,TE,DEN,10,507,12,88,-,-,2.201,8.82,15.94,23.38,16.05,-71.37,13,
Joe Royer,TE,CLE,11,509,12,89,-,-,2.201,0.0,0.0,0.0,0.0,-87.41,13,
Tyler Conklin,TE,DET,6,510,12,90,-,-,2.201,4.34,4.34,4.34,4.34,-83.07,13,
Grant Calcaterra,TE,PHI,10,511,12,91,-,-,2.201,0.0,9.54,19.07,9.54,-77.88,13,
Brevyn Spann-Ford,TE,DAL,14,515,12,92,-,-,2.201,4.44,9.2,13.47,9.04,-78.37,13,
Bauer Sharp,TE,TB,10,516,12,93,-,-,2.201,14.04,14.04,14.04,14.04,-73.37,13,
Davis Allen,TE,LAR,11,517,12,94,-,-,2.201,9.2,22.01,34.17,21.8,-65.62,13,
Ben Sims,TE,MIA,6,518,12,95,-,-,2.201,0.0,0.0,0.0,0.0,-87.41,13,
Charlie Woerner,TE,ATL,11,519,12,96,-,-,2.201,3.63,12.21,20.78,12.21,-75.21,13,
Josh Whyle,TE,GB,11,520,12,97,-,-,2.201,5.0,8.43,11.85,8.43,-78.99,13,
Jared Wiley,TE,KC,5,522,12,98,-,-,2.201,12.66,12.66,12.66,12.66,-74.75,13,
Drew Ogletree,TE,IND,13,523,12,99,-,-,2.201,4.4,7.44,10.96,7.6,-79.82,13,
Eric Saubert,TE,SEA,11,525,12,100,-,-,2.201,4.25,4.25,4.25,4.25,-83.16,13,
