# Yahoo data for league 59154 (San Diego City Slackers), scraped 2026-09-04: season projections in league scoring (league players page) + ADP (draft analysis, standard-scoring ADP). Kickers omitted: no K slot.
Player,Position,Team,ProjectedPoints,YahooADP,YahooPlayerID,Bye,YahooPreseasonADP,YahooPctDrafted,YahooORank
Davis Allen,TE,LAR,,,40164,11,,,2118
Ben Sinnott,TE,WAS,21.75,,40931,7,,,2119
Tyler Johnson,WR,DAL,,,32831,14,,,2120
Tim Patrick,WR,NYJ,,,30511,13,,,2121
Elijah Higgins,TE,ARI,27.99,,40226,14,,,2122
JuJu Smith-Schuster,WR,NYG,,,30175,8,,,2123
Austin Ekeler,RB,WAS,,,30423,7,,,2124
Will Dissly,TE,LAC,,,31090,7,,,2125
Antonio Gibson,RB,NE,,,32736,11,,,2126
Josh Reynolds,WR,NYJ,,,30230,13,,,2127
Tutu Atwell,WR,LAR,,,33445,11,,,2130
Tyler Lockett,WR,LV,,,28457,13,,,2131
Luke Musgrave,TE,GB,,,40074,11,,,2133
Nick Vannett,TE,BAL,,,29328,13,,,2134
Spencer Rattler,QB,NO,24.67,,41043,8,,,2135
Alexander Mattison,RB,MIA,,,31934,6,,,2136
Tyrell Shavers,WR,BUF,,,40630,7,,,2137
Brandin Cooks,WR,NO,,,27548,8,,,2138
Mitch Tinsley,WR,HOU,,,40313,8,,,2139
Noah Brown,WR,LV,,,30352,13,,,2140
Marquez Valdes-Scantling,WR,DAL,,,31144,14,,,2141
Bub Means,WR,NO,,,41045,8,,,2142
Dyami Brown,WR,WAS,,,33470,7,,,2143
CJ Dippre,TE,TB,,,42291,10,,,2144
Carsen Ryan,TE,CLE,,,42870,11,,,2145
RJ Maryland,TE,GB,,,43087,11,,,2146
Carson Towt,TE,IND,,,42620,13,,,2147
Evan Svoboda,TE,LAC,,,42927,7,,,2148
Thomas Fidone II,TE,NYG,,,42004,8,,,2149
Chris Myarick,TE,LV,,,32442,13,,,2150
Albert Okwuegbunam Jr.,TE,LV,,,32788,13,,,2151
Bauer Sharp,TE,TB,,,42807,10,,,2152
Lance Mason,TE,PIT,,,43012,9,,,2153
Marcedes Lewis,TE,DEN,,,7777,10,,,2154
DJ Rogers,TE,DAL,,,43055,14,,,2155
Josh Cuevas,TE,BAL,,,42782,13,,,2156
Messiah Swinson,TE,CLE,,,41463,11,,,2157
Tanner Arkin,TE,NE,,,43152,11,,,2158
Johnny Pascuzzi,TE,LAC,,,43433,7,,,2159
Connor Hulstein,TE,NYJ,,,43471,13,,,2160
Chamon Metayer,TE,CAR,,,43035,5,,,2161
Devin Culp,TE,TB,,,41120,10,,,2162
Sal Cannella,TE,CLE,,,33932,11,,,2163
Ademola Faleye,TE,TB,,,43109,10,,,2164
Justin Joly,TE,MIA,,,42764,6,,,2165
Treyton Welch,TE,NO,,,41363,8,,,2166
Mitch Van Vooren,TE,NE,,,42547,11,,,2167
Jared Wiley,TE,KC,,,40978,5,,,2168
Tre Watson,TE,MIA,,,42430,6,,,2169
Robert Tonyan,TE,PIT,,,30777,9,,,2170
Nikola Kalinic,TE,CHI,,,33950,10,,,2171
Sam Roush,TE,CHI,,,42691,10,,,2172
Cade Klubnik,QB,NYJ,34.38,,42732,13,,,
Quinn Ewers,QB,JAX,29.91,,42037,7,,,
Mason Rudolph,QB,PIT,29.19,,31046,9,,,
Tyler Huntley,QB,BAL,28.48,,32993,13,,,
Jimmy Horn Jr.,WR,CAR,26.31,,41999,5,,,
Kyle Allen,QB,BUF,25.80,,31301,7,,,
Isaiah Williams,WR,NYJ,25.57,,41421,13,,,
Tommy DeVito,QB,NE,25.20,,40533,11,,,
Davis Mills,QB,HOU,24.80,,33455,8,,,
Tyrod Taylor,QB,GB,24.58,,24967,11,,,
Jarrett Stidham,QB,DEN,24.44,,31965,10,,,
Jameis Winston,QB,NYG,24.38,,28389,8,,,
Jacob Saylors,RB,DET,24.14,,40474,6,,,
Trey Lance,QB,LAC,23.91,,33391,7,,,
Tyson Bagent,QB,CHI,23.87,,40504,10,,,
Joshua Dobbs,QB,DET,23.55,,30248,6,,,
Barion Brown,WR,NO,23.39,,42812,8,,,
Gardner Minshew II,QB,ARI,23.23,,32010,14,,,
Kevin Coleman Jr.,WR,MIA,22.86,,42768,6,,,
Kenny Pickett,QB,CAR,22.43,,33975,5,,,
Drew Lock,QB,SEA,22.01,,31874,11,,,
Rasheen Ali,RB,BAL,21.50,,41033,13,,,
Ty Simpson,QB,LAR,21.33,,42635,11,,,
Jets,DEF,NYJ,110.63,,,13,,,
