# Yahoo data for league 59154 (San Diego City Slackers), scraped 2026-09-04: season projections in league scoring (league players page) + ADP (draft analysis, standard-scoring ADP). Kickers omitted: no K slot.
Player,Position,Team,ProjectedPoints,YahooADP,YahooPlayerID,Bye,YahooPreseasonADP,YahooPctDrafted,YahooORank
Brian Thomas Jr.,WR,JAX,106.17,84.0,40883,7,84.3,1.00,73
DK Metcalf,WR,PIT,120.26,85.7,31896,9,85.9,1.00,76
Tony Pollard,RB,TEN,130.46,85.9,31960,9,86.3,1.00,81
Rico Dowdle,RB,PIT,153.68,86.3,33100,9,86.5,1.00,86
Rams,DEF,LAR,160.39,87.4,100014,11,87.3,1.00,155
Chuba Hubbard,RB,CAR,124.75,90.5,33514,5,91.7,1.00,84
Jonathon Brooks,RB,CAR,137.18,91.4,40926,5,91.1,0.96,77
Jaxson Dart,QB,NYG,281.09,92.3,41810,8,93.1,1.00,107
Texans,DEF,HOU,156.62,93.9,100034,8,93.9,1.00,150
J.K. Dobbins,RB,DEN,120.41,94.7,32725,10,94.7,1.00,85
Travis Kelce,TE,KC,98.22,94.8,26686,5,94.7,1.00,118
Chris Godwin Jr.,WR,TB,100.60,95.6,30197,10,95.6,1.00,82
Alec Pierce,WR,IND,134.97,95.9,34008,13,96.8,0.99,96
MarShawn Lloyd,RB,GB,161.13,96.9,40971,11,96.9,0.29,71
Dalton Kincaid,TE,BUF,89.76,97.6,40048,7,96.8,1.00,106
Brock Purdy,QB,SF,268.76,98.4,34218,8,98.3,0.99,101
Bo Nix,QB,DEN,281.01,98.8,40875,10,98.5,0.99,105
Blake Corum,RB,LAR,133.54,99.5,40962,11,99.8,1.00,92
Matthew Stafford,QB,LAR,260.98,99.7,9265,11,99.4,0.98,115
Michael Wilson,WR,ARI,103.03,100.4,40121,14,100.5,0.99,90
Jordyn Tyson,WR,NO,69.08,100.9,42630,8,101.8,0.64,129
Broncos,DEF,DEN,157.85,102.4,100007,10,102.2,1.00,163
Patrick Mahomes,QB,KC,258.57,103.5,30123,5,104.0,0.98,122
Stefon Diggs,WR,WAS,103.38,104.3,28534,7,103.9,0.83,97
Dallas Goedert,TE,PHI,94.69,105.3,31019,10,104.9,0.99,116
Courtland Sutton,WR,DEN,110.85,105.9,31010,10,106.3,0.99,100
Josh Downs,WR,IND,109.54,106.4,40126,13,106.3,0.98,88
Jacory Croskey-Merritt,RB,WAS,126.22,106.7,42010,7,106.6,0.95,91
Seahawks,DEF,SEA,156.75,108.8,100026,11,108.5,1.00,165
RJ Harvey,RB,DEN,115.77,108.9,41845,10,109.5,0.96,108
De'Zhaun Stribling,WR,SF,70.36,109.1,42655,8,109.3,0.58,93
Quentin Johnston,WR,LAC,106.38,109.3,40051,7,109.5,0.95,89
Kyle Monangai,RB,CHI,127.21,109.5,42025,10,110.3,0.94,110
Isaiah Likely,TE,NYG,85.16,109.5,34095,8,109.6,0.99,120
Jordan Mason,RB,MIN,132.21,112.4,34320,6,112.2,0.92,103
Kyler Murray,QB,MIN,269.33,112.6,31833,6,112.9,0.92,119
Mark Andrews,TE,BAL,100.04,113.2,31056,13,113.1,0.97,135
Jared Goff,QB,DET,270.61,113.7,29235,6,113.5,0.93,117
Ricky Pearsall,WR,SF,,114.9,40892,8,114.9,0.24,358
Jordan Addison,WR,MIN,105.27,115.5,40042,6,115.2,0.97,95
Aaron Rodgers,QB,PIT,224.03,115.9,7200,9,115.6,0.02,249
Jayden Reed,WR,GB,119.17,116.6,40063,11,116.1,0.96,94
Makai Lemon,WR,PHI,84.40,117.1,42642,10,117.7,0.87,102
Jake Ferguson,TE,DAL,87.28,117.3,34085,14,117.4,0.92,146
Fernando Mendoza,QB,LV,179.25,118.6,42623,13,117.7,0.04,214
Brian Robinson,RB,ATL,80.11,119.0,34054,11,117.6,0.06,162
Kenny Gainwell,RB,TB,117.44,120.0,33538,10,120.3,0.83,111
Cooper Kupp,WR,SEA,53.84,120.2,30182,11,120.2,0.04,263
Michael Pittman Jr.,WR,PIT,104.96,120.9,32704,9,121.0,0.92,104
Bryce Young,QB,CAR,234.20,121.4,40029,5,121.3,0.02,182
Sam Darnold,QB,SEA,252.45,122.4,30973,11,121.9,0.18,156
Jordan Love,QB,GB,272.36,122.7,32696,11,122.4,0.66,125
Mike Washington Jr.,RB,LV,67.07,123.4,42744,13,123.6,0.19,128
KC Concepcion,WR,CLE,91.43,123.5,42646,11,123.2,0.60,98
Ray Davis,RB,BUF,63.12,123.5,40980,7,123.2,0.02,159
Juwan Johnson,TE,NO,81.21,123.8,33113,8,123.9,0.54,134
Eagles,DEF,PHI,147.44,123.8,100021,10,123.3,1.00,170
Pat Freiermuth,TE,PIT,71.17,124.0,33443,9,123.2,0.03,216
David Njoku,TE,LAC,43.44,124.0,30142,7,122.9,0.03,315
Kayshon Boutte,WR,HOU,87.35,124.1,40224,8,124.3,0.02,177
Cam Ward,QB,TEN,234.17,124.1,41786,9,123.6,0.02,185
Rachaad White,RB,WAS,114.37,124.2,34047,7,124.6,0.62,114
Aaron Jones Sr.,RB,MIN,120.08,124.2,30295,6,124.4,0.65,123
